name;id;is_in_set;release_year;number_bricklink_collections;in_books;in_sets;state;amount;purchase_date;price;note;polybag_name;part_of_my_set;theme;is_set
Ahsoka Tano's T-6 Jedi Shuttle;75362-1;-;;;0;;New;1;14.04.2024;1 159;-;-;-;Star Wars;set
Jake & Neytiri's First Banshee Flight;75572;-;2022;;0;;New;1;16.07.2024;530;-;-;-;-;set
I am Groot;76217;-;2022;;0;;New;1;05.03.2024;682;-;-;-;-;set
Roman Chariot;6346105;-;;;0;;New;1;14.04.2024;840;-;-;-;-;set
Trade Federation Troop Carrier;40686-1;-;;;0;;New;1;06.05.2024;1 560;-;-;-;-;set
Sith Infiltrator Microfighter;75224-1;-;2019;380;0;;Used;1;10.03.2024;300;-;-;-;Star Wars;set
Millennium Falcon Microfighter;75295;-;2021;1601;0;;New;1;16.04.2024;285;-;-;-;Star Wars;set
Ariel's Underwater Symphony polybag;30552;-;2018;23;0;;New;1;25.03.2024;250;-;-;-;-;set
Star Wars Millenium Falcon;75105-1;-;;;0;;Used;1;09.03.2024;2 500;-;-;-;Star Wars;set
Young Dragon Riyu;71810;-;2024;86;0;;New;2;01.01.1900;0;-;-;-;-;set
Batman & Selina Kyle Motorcycle Pursuit;76179;-;2021;497;0;;New;1;01.01.1900;0;-;-;-;-;set
The Shark Attack Stunt Challenge;60342;-;2022;160;0;;New;1;01.01.1900;0;-;-;-;-;set
Hogwarts Carriage and Thestrals;76400;-;2022;990;0;;New;2;01.01.1900;0;-;-;-;-;set
Spider-Man vs. Sandman: Final Battle;76280;-;2024;177;0;;New;1;01.01.1900;0;-;-;-;-;set
Ilu Discovery;75575;-;2023;195;0;;New;1;01.01.1900;0;-;-;-;-;set
Advent Calendar 2022, Star Wars;75340;-;2022;1018;0;;New;1;01.01.1900;0;-;-;-;-;set
Advent Calendar 2022, Super Heroes, Guardians of the Galaxy;76231;-;2022;442;0;;New;2;01.01.1900;0;-;-;-;-;set
Avengers: Endgame Final Battle;76192;-;2021;328;0;;New;1;01.01.1900;0;-;-;-;-;set
Floating Mountains: Site 26 & RDA Samson;75573;-;2022;252;0;;New;1;01.01.1900;0;-;-;-;-;set
Paz Vizsla and Moff Gideon Battle;75386;-;2024;354;0;;New;1;01.02.2025;0;-;-;-;-;set
Adventures with Mario - Starter Course;71360;-;2020;773;0;;New;1;01.01.1900;0;-;-;-;-;set
Micro Rocket Launchpad;40712;-;2024;333;0;;New;2;01.01.1900;0;-;-;-;-;set
Motorcycle Chase: Spider-Man vs. Doc Ock;76275;-;2024;170;0;;New;1;01.01.1900;0;-;-;-;-;set
Skimwing Adventure;75576;-;2023;170;0;;New;1;01.01.1900;0;-;-;-;-;set
Lloyd's Dragon Power Spin;71779;-;2023;115;0;;New;1;01.01.1900;0;-;-;-;-;set
Kai's Dragon Power Flip;71777;-;2023;128;0;;New;1;01.01.1900;0;-;-;-;-;set
Boba Fett's Starship Microfighter {Slave I};75344;-;2023;2694;0;;New;1;01.01.1900;0;-;-;-;-;set
2 Fast 2 Furious Nissan Skyline GT-R (R34);76917;-;2023;1998;0;;New;1;01.01.1900;0;-;-;-;-;set
AAT - Mini polybag;30680;-;2024;772;0;;New;1;01.01.1900;0;-;-;-;-;set
Wheelie Stunt Bike;60296;-;2021;184;0;;New;1;01.01.1900;0;-;-;-;-;set
Motorcycle Chase: Spider-Man vs. Doc Ock;76275;-;2024;171;0;;New;1;01.01.1900;0;-;-;-;-;set
Mighty Micros: Wonder Woman vs. Doomsday;76070;-;2017;86;0;;New;1;01.01.1900;0;-;-;-;-;set
Captain America and Hydra Face-Off;76189;-;2021;270;0;;New;1;01.01.1900;0;-;-;-;-;set
Chicken Stunt Bike;60310;-;2021;286;0;;New;1;01.01.1900;0;-;-;-;-;set
The Mandalorian N-1 Starfighter Microfighter;75363;-;2023;1122;0;;New;3;750;0;-;-;-;-;set
501st Clone Troopers Battle Pack;75345;-;2023;3889;0;;New;1;01.01.1900;0;-;-;-;-;set
Naboo Starfighter Microfighter;75223;-;2019;309;0;;Used;1;01.01.1900;0;-;-;-;-;set
Mars Crew Exploration Rover;42180;-;2024;32;0;;New;1;01.01.1900;0;-;-;-;-;set
Drag Racer;40408;-;2020;155;0;;New;1;01.01.1900;0;-;-;-;-;set
Ghost Train Express;70424;-;2019;169;0;;New;1;01.01.1900;0;-;-;-;-;set
Disney Celebration Train​;43212;-;2023;343;0;;New;1;01.01.1900;0;-;-;-;-;set
The Little Mermaid Story Book;43213;-;2023;59;0;;New;1;19.08.2024;410;-;-;-;-;set
Clone Scout Walker – 20th Anniversary Edition;75261;-;2019;748;0;;Used, Missing 2 figures;1;18.08.2024;678;-;-;-;-;set
Gungan Patrol;7115-1;-;2000;445;0;;Used, Missing bricks;1;18.08.2024;920;-;-;-;Star Wars;set
Peter Pan & Wendy's Storybook Adventure;43220;-;2023;65;0;;New;1;05.09.2024;234;-;-;-;-;set
Cherry Blossoms;40725;-;2024;444;0;;New;1;05.09.2024;177;-;-;-;-;set
The Pirate Ship Voyage;21259;-;2024;25;0;;New;1;05.09.2024;196;-;-;-;-;set
Batman with the Batmobile vs. Harley Quinn and Mr. Freeze;76274;-;2024;60;0;;New;1;05.09.2024;732;-;-;-;-;set
Lamborghini Countach;76908;-;2022;2496;0;;Unpacked/Exhibited;1;04.09.2024;320;-;-;-;-;set
Pagani Utopia;76915;-;2023;904;0;;New;1;02.09.2024;401;-;-;-;-;set
McLaren Senna;75892;-;2019;1021;0;;Unpacked/Exhibited;1;02.09.2024;495;-;-;-;-;set
1970 Ferrari 512 M;76906;-;2022;1715;0;;New;1;02.09.2024;371;-;-;-;-;set
Mythical Pegasus;40691;-;2024;82;0;;New;1;31.08.2024;370;-;-;-;-;set
Cole's Elemental Earth Mech;71806;-;2024;122;0;;New;1;26.08.2024;280;-;-;-;-;set
Aragog in the Forbidden Forest;76434;-;2024;91;0;;New;1;26.08.2024;309;-;-;-;-;set
Darth Maul's Sith Infiltrator;75383-1;-;2024;499;0;;New;1;19.08.2024;1429;-;-;-;-;set
X-wing Starfighter & Yavin 4;9677-1;-;2012;371;0;;Used;1;06.09.2024;167;-;-;-;-;set
Boba Fett's Starship Microfighter {Slave I};75344-1;-;2023;2797;0;;New;8;05.09.2024;132;-;-;-;-;set
Ahsoka Tano's Duel on Peridea;75385-1;-;2024;;0;;New;2;01.12.2024;970;-;-;-;Star Wars;set
The Dark Falcon;75389-1;-;2024;;0;;New;1;01.12.2024;2700;-;-;-;Star Wars;set
Atreides Royal Ornithopter;10327-1;-;2021;;0;;New;1;01.12.2024;3000;-;-;-;-;set
Jedi Bob's Starfighter;75388-1;-;2024;646;0;0;New;1;01.02.2025;450;-;-;-;Star Wars;set
 Witch - Detachable Plain Hat;min150;2;2023-2024;42;0;0;New;1;21.1.2025;135;-; Witch with Black Cat and Potion paper bag;-;Minecraft;0
 Mandalorian Nite Owl;sw1344;2;2024;631;0;0;New;1;21.01.2025;134;-; Mandalorian Nite Owl paper bag;-;Star Wars;mf
 Alex - Reddish Brown Legs;min017;21;2015-2025;683;0;0;New;1;21.1.2025;134;-;Alex, Baby Llama and Bee paper bag;-;Minecraft;mf
 Rocket Raccoon - Dark Blue Suit, Reddish Brown Head;sh0875;2;2023-2024;2019;0;0;New;1;21.01.2025;134;-; Rocket Raccoon paper bag;-;Marvel;mf
Venom with Symbiote Creature ;682501-1;-;2025;7;0;0;New;1;-;134;-; Venom with Symbiote Creature paper bag;-;Marvel;mf
 Skeleton, Minecraft - Medium Lavender Helmet;min065;7;-;224;0;0;New;0;2018-2023;134;-; Spider Jockey paper bag;-;Minecraft;mf
